SAMPLE_NAME	ORGAN	ANTIBODY	TYPE	FASTQ	NEW_NAME
GSC27	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817436	GSC27_H3K27AC
GSC27	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817437	GSC27_INPUT
GSC28	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817438	GSC28_H3K27AC
GSC28	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817439	GSC28_INPUT
GSC29	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817440	GSC29_H3K27AC
GSC29	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817441	GSC29_INPUT
GSC30	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817444	GSC30_H3K27AC
GSC30	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817445	GSC30_INPUT
GSC31	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817446	GSC31_H3K27AC
GSC31	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817447	GSC31_INPUT
GSC32	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817448	GSC32_H3K27AC
GSC32	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817449	GSC32_INPUT
GSC33	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817450	GSC33_H3K27AC
GSC33	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817451	GSC33_INPUT
GSC34	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817452	GSC34_H3K27AC
GSC34	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817453	GSC34_INPUT
GSC35	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817454	GSC35_H3K27AC
GSC35	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817455	GSC35_INPUT
GSC36	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817456	GSC36_H3K27AC
GSC36	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817457	GSC36_INPUT
GSC37	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817458	GSC37_H3K27AC
GSC37	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817459	GSC37_INPUT
GSC38	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817460	GSC38_H3K27AC
GSC38	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817461	GSC38_INPUT
GSC39	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817462	GSC39_H3K27AC
GSC39	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817463	GSC39_INPUT
GSC40	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817466	GSC40_H3K27AC
GSC40	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817467	GSC40_INPUT
GSC41	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817468	GSC41_H3K27AC
GSC41	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817469	GSC41_INPUT
GSC43	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817470	GSC43_H3K27AC
GSC43	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817471	GSC43_INPUT
GSC44	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817472	GSC44_H3K27AC
GSC44	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817473	GSC44_INPUT
